brand,url,name,price,image,dimensions,weight,os,generation,screenSize,resolution,touchScreen,backlitKeyboard,internalMemory,ram,graphicsCard,processorType,processorSpeed,battery,BT,wifi,USB,camera,fingerPrintReader
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-v15-g3-15-6-inches-12th-gen-core-i3-dos-4gb-256gb-ssd
","lenovo v15 g3 15 6 inches 12th gen core i3 dos 4gb 256gb ssd
","Rs  132,999",https://images.priceoye.pk/lenovo-v15-g3-15-6-inches-12th-gen-core-i3-dos-4gb-256gb-ssd-pakistan-priceoye-8hpny-500x500.webp,359.2 x 236.5 x 19.9 mm,1.7 kg,DOS,12th Gen,15.6 Inches,1920 x 1080 Pixels,No,No,256 GB SSD,4 GB,Intel Iris Xe Graphics,Core i3,up to 4.40 GHz,38Wh,Yes,Yes,1x USB 2.0 1x USB 3.2 Gen 1,No,720p with Privacy Shutter
hp,"https://priceoye.pk/laptops/hp/hp-laptop-15s-fq5276nia-i3-12th-gen-4gb-256gb
","hp laptop 15s fq5276nia i3 12th gen 4gb 256gb
","Rs  109,999",https://images.priceoye.pk/hp-laptop-15s-fq5276nia-i3-12th-gen-4gb-256gb-pakistan-priceoye-7tu3c-500x500.webp,35.85 x 24.2 x 1.79 cm,1.69 kg,FreeDOS 3.0,12th Generation,15.6,1920 x 1080,No,N/A,256 GB PCIe® NVMe™ M.2 SSD,4GB RAM,"Integrated,  Intel® UHD Graphics",Intel® Integrated SoC,"Intel® Core™ i3-1215U (up to 4.4 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads) 1 2","3-cell, 41 Wh Li-ion",Yes,Yes,Yes,N/A,HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones
dell,"https://priceoye.pk/laptops/dell/dell-latitude-3540-15-6-inches-13th-gen-core-i5-dos-8gb-256gb
","dell latitude 3540 15 6 inches 13th gen core i5 dos 8gb 256gb
","Rs  226,999",https://images.priceoye.pk/dell-latitude-3540-15-6-inches-13th-gen-core-i5-dos-8gb-256gb-pakistan-priceoye-7yzsb-500x500.webp,359.0 x 20.4 x 239.7 mm,1.81 kg,DOS,13th Generation,15.6 Inches,1920 x 1080,No,"English US backlit keyboard with numeric keypad, 99-key",256 GB SSD,8 GB,Intel Iris Xe Graphics as UHD Graphics,Intel Core i5 - 1335U,"1.3 GHz Boost up to 4.6 GHz (Total Cores 10, # of Performance-cores 2, # of Efficient-cores 8, Total Threads 12)","3-cell, 42 Wh, Express Charge 1.0",Yes,Yes,1 USB 3.2 Gen 2 Type-C® port with DisplayPort Alt mode/Power Delivery 2 USB 3.2 Gen 1 port 1 USB 3.2 Gen 1 port with PowerShare,Yes,720p at 30 fps HD camera
hp,"https://priceoye.pk/laptops/hp/hp-laptop-eq2180au-15-6-inches-amd-ryzen-5-8gb-ram-512gbssd
","hp laptop eq2180au 15 6 inches amd ryzen 5 8gb ram 512gbssd
","Rs  194,999",https://images.priceoye.pk/hp-laptop-eq2180au-15-6-inches-amd-ryzen-5-8gb-ram-512gbssd-pakistan-priceoye-og2om-500x500.webp,N/A,1.69 kg,Genuine Windows 11 Home,AMD,15.6,1920x1080,No,N/A,512 GB,8 GB,AMD Radeon™ Graphics,AMD® Ryzen 5 5500U Hexa-Core Processor,"2.1 GHz up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores, 12 threads)",N/A,Bluetooth 5.0,Yes,1 SuperSpeed USB Type-C® 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate,N/A,HP True Vision 720p HD camera with integrated dual array digital microphones
dell,"https://priceoye.pk/laptops/dell/dell-latitude-15-3540-15-6-inches-13th-gen-core-i7-dos-8gb-512gb
","dell latitude 15 3540 15 6 inches 13th gen core i7 dos 8gb 512gb
","Rs  319,999",https://images.priceoye.pk/dell-latitude-15-3540-15-6-inches-13th-gen-core-i7-dos-8gb-512gb-pakistan-priceoye-02rpm-500x500.webp,N/A,1.81 kg,DOS,13th Generation,15.6 Inches,1920 x 1080,Non-Touch,"English US backlit keyboard with numeric keypad, 99-key",512 GB SSD,08 GB,Intel Iris Xe Graphics as UHD Graphics,Core i7 1355u Raptor Lake Processor (12 MB Intel Smart Cache),"1.7 GHz Boost up to 5.0 GHz (Total Cores 10, # of Performance-cores 2, # of Efficient-cores 8, Total Threads 12)",N/A,Yes,Yes,1 USB 3.2 Gen 2 Type-C® port with DisplayPort Alt mode/Power Delivery 2 USB 3.2 Gen 1 port 1 USB 3.2 Gen 1 port with PowerShare,null,Yes
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-3520-core-i7-12th-gen-8gb-512gb-ssd
","dell inspiron 3520 core i7 12th gen 8gb 512gb ssd
","Rs  187,499",https://images.priceoye.pk/dell-inspiron-3520-core-i7-12th-gen-8gb-512gb-ssd-pakistan-priceoye-r1hs0-500x500.webp,N/A,N/A,Windows 11,12th Gen,15.6 Inches,1920 x 1080,No,N/A,512 GB,8 GB,Intel UHD Graphics,Intel Core i7 12th Generation,"Intel Core i7-1255U (up to 4.70GHz, 12MB Cache)",Li-Po battery,Yes,Yes,Yes,N/A,Yes
hp,"https://priceoye.pk/laptops/hp/hp-probook-450-g9-15-6-inches-12th-gen-core-i5-backlit-keyboard-win-11-8gb-512gb
","hp probook 450 g9 15 6 inches 12th gen core i5 backlit keyboard win 11 8gb 512gb
","Rs  239,999",https://images.priceoye.pk/hp-probook-450-g9-15-6-inches-12th-gen-core-i5-backlit-keyboard-windows-11-8gb-512gb-pakistan-priceoye-zvh6q-500x500.webp,359.4 x 233.9 x 19.9 mm,1.74 Kg,Windows 11 Home,12th Generation,15.6 Inches,1920 x 1080,No,Yes,512 GB SSD,8 GB,"Integrated, Intel® Iris® Xᵉ Graphics",Intel® Core™ i5-1235U,"up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads","3-cell, 42 Wh Li-ion",Yes,Yes,"1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4); 3 USB Type-A 5Gbps signaling rate (1 charging, 1 power); 1 AC power; 1 HDMI 2.1b; 1 stereo headphone/microphone combo jack; 1 RJ-45",Yes,720p HD privacy camera
hp,"https://priceoye.pk/laptops/hp/hp-pavilion-15-eg3020tx-15-6-inches-13th-gen-core-i7-win-11-16gb-512gb
","hp pavilion 15 eg3020tx 15 6 inches 13th gen core i7 win 11 16gb 512gb
","Rs  339,999",https://images.priceoye.pk/hp-pavilion-15-eg3020tx-15-6-inches-13th-gen-core-i7-windows-11-16gb-512-pakistan-priceoye-7ap8r-500x500.webp,360.2 x 234 x 17.9,1.74 kg,Windows 11 Home,13th Generation Intel,15.6 Inches,1920 x 1080,Non-Touch,"Full-size, backlit, cloud blue keyboard with numeric keypad",512 GB,16 GB,NVIDIA® GeForce® MX550 (2 GB GDDR6 dedicated),Intel Core i7-1355U (up to 5.0 GHz with Intel,"Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)","3-cell, 41 Wh Li-ion",Yes,Yes,"1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 AC smart pin; 1 headphone/microphone combo",Yes,HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones
hp,"https://priceoye.pk/laptops/hp/hp-15-dy5131wm-laptop-12thgen-core-i3-8gb-ram-256gb-ssd
","hp 15 dy5131wm laptop 12thgen core i3 8gb ram 256gb ssd
","Rs  109,999",https://images.priceoye.pk/hp-15-dy5131wm-laptop-12thgen-core-i3-8gb-ram-256gb-ssd-pakistan-priceoye-7o93t-500x500.webp,35.85 x 24.2 x 1.79 cm,1.69 kg,Windows 11 Home in S mode 1,12th Gen,15.6,"diagonal, FHD (1920 x 1080)","anti-glare, 250 nits, 45% NTSC 4",N/A,256 GB PCIe® NVMe™ M.2 SSD,8 GB,"Integrated,  Intel® UHD Graphics",12th Generation Intel® Core™ i3 processor,"Intel® Core™ i3-1215U (up to 4.4 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads) 2 3","3-cell, 41 Wh Li-ion",Yes,Yes,Yes,Fingerprint reader,HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-ideapad-5-15-6-inches-11th-gen-core-i5-dos-8gb-512gb
","lenovo ideapad 5 15 6 inches 11th gen core i5 dos 8gb 512gb
","Rs  166,999",https://images.priceoye.pk/lenovo-ideapad-5-15-6-inches-11th-gen-core-i5-dos-8gb-512gb-pakistan-priceoye-lbcas-500x500.webp,356.67 x 233.13 x 17.9-19.9 mm,1.66 kg,DOS,11th Generation,15.6 Inches,1920 x 1080 Pixels,Non-Touch,Yes,512 GB SSD,8 GB,N/A,Core i5,"2.40 GHz, up to 4.20 GHz with Turbo Boost",57 Wh,Yes,Yes,Yes,No,Yes
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e14-g4-14-inches-12th-gen-core-i7-backlit-keyboard-dos-8gb-512gb
","lenovo thinkpad e14 g4 14 inches 12th gen core i7 backlit keyboard dos 8gb 512gb
","Rs  289,999",https://images.priceoye.pk/lenovo-thinkpad-e14-g4-14-inches-12th-gen-core-i7-8gb-512gb-pakistan-priceoye-7fz2s-500x500.webp,18.9 x 365 x 240 mm,1.70 Kg,DOS,12th Generation,14 Inches,1920 x 1080,No,"Backlit, US English",512 GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i7-1255u Processor,1.1 GHz Turbo Boost Up to 4.7 GHz,45 Wh,Yes,Yes,"1x USB 2.0 1x USB 3.2 Gen 1 (Always On) 1x Thunderbolt 4 / USB 4 40Gbps (support data transfer, Power Delivery 3.0, and DisplayPort 1.4)","Yes , Touch Style",Camera privacy shutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-v15-g3-15-6-inches-12th-gen-core-i5-dos-4gb-256gb
","lenovo v15 g3 15 6 inches 12th gen core i5 dos 4gb 256gb
","Rs  179,999",https://images.priceoye.pk/lenovo-v15-g3-15-6-inches-12th-gen-core-i5-dos-4gb-256gb-pakistan-priceoye-0s1os-500x500.webp,null,1.7 Kg,DOS,12th Generation,15.6 Inches,1920 x 1080 Pixels,Non-Touch,No,256 GB SSD,4 GB,Integrated Intel Iris Xe Graphics Functions as UHD Graphics,Intel Core i5-1235u,1.30 GHz up to 4.40 GHz Turbo,38Wh,Yes,Yes,"1x USB 2.0 1x USB 3.2 Gen 1 1x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.2)",No,Yes
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-ideapad-slim-3-core-i5-13th-gen-8gb-512gb
","lenovo ideapad slim 3 core i5 13th gen 8gb 512gb
","Rs  159,999",https://images.priceoye.pk/lenovo-ideapad-slim-3-core-i5-13th-gen-8gb-512gb-pakistan-priceoye-efn27-500x500.webp,N/A,1.62 kg,Dos,13 Gen,15.6,1920x1080,No,"Non-backlit, English (EU)",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,8 GB,Integrated Intel® UHD Graphics,13th Gen Core i5 13420H Raptor Lake Processor (12 MB Intel Smart Cache),"1.5 GHz Boost up to 3.4 GHz (Total Cores 8, # of Performance-cores 4, # of Efficient-cores 4, Total Threads 12)",N/A,Yes,Yes,Yes,N/A,Yes
hp,"https://priceoye.pk/laptops/hp/hp-15s-fq5098tu-15-6-inches-12th-gen-core-i5-win-11-8gb-512gb
","hp 15s fq5098tu 15 6 inches 12th gen core i5 win 11 8gb 512gb
","Rs  150,999",https://images.priceoye.pk/hp-15s-fq5098tu-15-6-inches-12th-gen-core-i5-windows-11-8gb-512gb-pakistan-priceoye-e96ax-500x500.webp,null,1.69 Kg,Genuine Windows 11 Home,12th Generation,15.6 Inches,1920 x 1080 Pixels,No,Yes,512 GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i5-1235u Processor,1.30 GHz up to 4.40 GHz Turbo (12.0 MB Cache),N/A,Yes,Yes,1 SuperSpeed USB Type-C® 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate,No,HP True Vision 720p HD Camera with Temporalnoise Reduction and Integrated Dual Array Digital Microphones
hp,"https://priceoye.pk/laptops/hp/hp-probook-450-g9-15-6-inches-12th-gen-core-i5-backlit-keyboard-dos-8gb-512gb
","hp probook 450 g9 15 6 inches 12th gen core i5 backlit keyboard dos 8gb 512gb
","Rs  219,999",https://images.priceoye.pk/hp-probook-450-g9-15-6-inches-12th-gen-core-i5-backlit-keyboard-dos-8gb-512gb-pakistan-priceoye-n3rup-500x500.webp,359.4 x 233.9 x 19.9 mm,1.74 Kg,DOS,12th Generation,15.6 Inches,1920 x 1080 Pixels,Non-Touch,No,512 GB SSD & 256GB,8 GB,Intel Iris Xe Graphics,Intel Core i5-1235u,1.30 GHz up to 4.40 GHz Turbo (12.0 MB Cache),"3-cell, 51 Wh Li-ion",Yes,Yes,"3 SuperSpeed USB Type-A 5Gbps signaling rate (1 charging, 1 power); 1 SuperSpeed USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1)",Yes,Integrated HD 720p webcam with dual-microphone array
hp,"https://priceoye.pk/laptops/hp/hp-probook-450-g9-15-6-inches-12th-gen-core-i7-dos-8gb-512gb-local
","hp probook 450 g9 15 6 inches 12th gen core i7 dos 8gb 512gb local
","Rs  245,999",https://images.priceoye.pk/hp-probook-450-g9-15-6-inches-12th-gen-core-i7-8gb-512gb-local-pakistan-priceoye-px43e-500x500.webp,359.4 x 233.9 x 19.9 mm,1.74 kg,DOS,12th Generation,15.6 Inches,1920 x 1080 Pixels,Non-Touch,Yes,512 GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i7-1255u Processor,1.7 Ghz Turbo Boost Up to 4.7 GHz (10 Cores - 12 Threads),"HP Long Life 3-cell, 51 Wh Li-ion",Yes,Yes,"3 SuperSpeed USB Type-A 5Gbps signaling rate (1 charging, 1 power); 1 SuperSpeed USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1); 1 headphone/microphone combo; 1 AC power; 1 RJ-45; 1 HDMI 2.1b",Yes,Integrated HD 720p webcam with dual-microphone array
hp,"https://priceoye.pk/laptops/hp/hp-victus-15-fa1093dx-15-6-inches-13th-gen-core-i5-win-11-home-8gb-512gb
","hp victus 15 fa1093dx 15 6 inches 13th gen core i5 win 11 home 8gb 512gb
","Rs  239,999",https://images.priceoye.pk/hp-victus-15-fa1093dx-15-6-inches-13th-gen-core-i5-win-11-home-8gb-512gb-pakistan-priceoye-kt0s7-500x500.webp,N/A,2.29 kg,Genuine Windows 11 Home,13th Generation,15.6 Inches,1920 x 1080,Non-Touch,"Full-size, backlit, performance blue keyboard with numeric keypad",512 GB SSD,8,NVIDIA® GeForce RTX™ 3050 Laptop GPU (6 GB GDDR6 dedicated),Core i5 13420H Raptor Lake Processor,1.5 GHz Boost up to 3.4 GHz,N/A,Yes,Yes,"1 USB Type-A 5Gbps signaling rate 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge) 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge)",No,HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones
hp,"https://priceoye.pk/laptops/hp/hp-pavilion-15-eg3002tx-15-6-inches-13th-gen-core-i5-win-11-8gb-512gb
","hp pavilion 15 eg3002tx 15 6 inches 13th gen core i5 win 11 8gb 512gb
","Rs  294,999",https://images.priceoye.pk/hp-pavilion-15-eg3002tx-15-6-inches-13th-gen-core-i5-win-11-8gb-512gb-pakistan-priceoye-p2bqs-500x500.webp,36.02 x 23.4 x 1.79 cm,1.74 Kg,Windows 11 Home Single Language,13th Generation,15.6 Inches,1920 x 1080,Non-Touch,Yes,512 GB,8 GB,2 GB Nvidia MX550,Intel i5-1335U,up to 4.6 GHz,"3-cell, 41 Wh Li-ion",Yes,Yes,"1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 AC smart pin; 1 headphone/microphone combo 10",Yes,Yes
hp,"https://priceoye.pk/laptops/hp/hp-pavilion-15-eh2033au-15-6-inches-amd-ryzen-7-5825u-win-11-16gb-1tb
","hp pavilion 15 eh2033au 15 6 inches amd ryzen 7 5825u win 11 16gb 1tb
","Rs  266,999",https://images.priceoye.pk/hp-pavilion-15-eh2033au-15-6-inches-amd-ryzen-7-5825u-win-11-16gb-1tb-pakistan-priceoye-nnif0-500x500.webp,36.02 x 23.4 x 1.79 cm,1.75 Kg,Windows 11 Home,AMD,15.6 Inches,1920 x 1080 Pixels,Non-Touch,Yes,1 TB,16 GB,"Integrated,  AMD Radeon™ Graphics",AMD Ryzen™ 7 5825U,up to 4.5 GHz,"3-cell, 41 Wh Li-ion",Yes,Yes,"1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo 7",Yes,Yes
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-ideapad-3-15-6-inches-11th-gen-core-i7-dos-8gb-1tb
","lenovo ideapad 3 15 6 inches 11th gen core i7 dos 8gb 1tb
","Rs  199,999",https://images.priceoye.pk/lenovo-ideapad-3-15-6-inches-11th-gen-core-i7-dos-8gb-1tb-pakistan-priceoye-5m1rf-500x500.webp,362.2 x 253.4 x 19.99 mm,1.7 kg,DOS,11th Generation,15.6 inches,1920 x 1080,No,No,1 TB HDD,8 GB,2GB NVIDIA MX450,Core i7,N/A,Li-ion Battery 3 Cells,Yes,Yes,"1 USB 2.0 , 1x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 (support data transfer only)",No,720p with Privacy Shutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e15-g4-15-6-inches-12th-gen-core-i7-backlit-keyboard-8gb-512gb
","lenovo thinkpad e15 g4 15 6 inches 12th gen core i7 backlit keyboard 8gb 512gb
","Rs  282,999",https://images.priceoye.pk/lenovo-thinkpad-e15-g4-15-6-inches-12th-gen-core-i7-backlit-keyboard-8gb-512gb-pakistan-priceoye-ypm0x-500x500.webp,18.9 x 365 x 240 mm,1.7 kg,DOS,12th Generation,15.6 Inches,1920 x 1080 Pixels,Non-Touch,Yes,512 GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i7-1255u Processor,1.1 GHz Turbo Boost Up to 4.7 GHz (10 Cores - 12 Threads),45Wh,Yes,Yes,"1x USB 2.0 1x USB 3.2 Gen 1 (Always On) 1x Thunderbolt 4 / USB 4 40Gbps (support data transfer, Power Delivery 3.0, and DisplayPort 1.4)",Yes,Yes
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkbook-15-g2-1135g7-15-6-inches-11th-gen-core-i5-dos-8gb-1tb
","lenovo thinkbook 15 g2 1135g7 15 6 inches 11th gen core i5 dos 8gb 1tb
","Rs  174,999",https://images.priceoye.pk/lenovo-thinkbook-15-g2-1135g7-15-6-inches-11th-gen-core-i5-dos-8gb-1tb-pakistan-priceoye-3ch90-500x500.webp,null,1.7 Kg,DOS,11th Generation,15.6 Inches,1920 x 1080,Yes,Yes,1 TB HDD,8 GB,Intel® UHD Graphics,Intel® Core™ i5-1135G7,"up to 4.2 GHz with Intel® Turbo Boost Technology, 8 MB L3 cache, 4 cores",3 Cell 45 WH,Yes,Yes,"USB 3.1 2 Ports, USB Type C 2 Ports",Yes,720 HD Cam
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-v15-g2-15-6-inches-12th-gen-core-i7-dos-8gb-512gb
","lenovo v15 g2 15 6 inches 12th gen core i7 dos 8gb 512gb
","Rs  212,999",https://images.priceoye.pk/lenovo-v15-g2-15-6-inches-12th-gen-core-i7-dos-8gb-512gb-pakistan-priceoye-2zxk0-500x500.webp,36.2 x 25.2 x 2 cm,1.85 Kg,DOS,12th Generation,15.6 Inches,1920 x 1080,Non-Touch,N/A,512 GB,8 GB,Intel Iris Xe Graphics,Core i7-1265U,up to 4.7 GHz,41 Wh Li-Ion 3 cell,Yes,Yes,"Microphone input, USB, USB 2.0, USB 3.0, Headphone Output, HDMI",N/A,720p HD
apple,"https://priceoye.pk/laptops/apple/apple-macbook-pro-14-mtl73-8gb-512gb
","apple macbook pro 14 mtl73 8gb 512gb
","Rs  452,999",https://images.priceoye.pk/apple-macbook-pro-14-mtl73-8gb-512gb-pakistan-priceoye-hyge1-500x500.webp,N/A,1.55 kg,macOS,M3,14.2-inches,3024-by-1964,No,Yes,512 GB,8 GB,Apple M3 Chip,Apple M3 Chip,"8-core CPU,10-core GPU&16-core Neural Engine",N/A,Yes,Yes,Yes,Yes,Yes
hp,"https://priceoye.pk/laptops/hp/hp-15s-fq5096tu-15-6-inches-12th-gen-core-i3-win-11-4gb-256gb
","hp 15s fq5096tu 15 6 inches 12th gen core i3 win 11 4gb 256gb
","Rs  128,999",https://images.priceoye.pk/hp-15s-fq5096tu-15-6-inches-12th-gen-core-i3-windows-11-4gb-256gb-pakistan-priceoye-oazzu-500x500.webp,N/A,1.75 Kg,Genuine Windows 11 Home,12th Generation,15.6 Inches,1366 x 768 Pixels,No,No,256 GB SSD,04 GB,Intel UHD Graphics,Intel Core i3-1215U,"1.2 GHz up to 4.4 GHz with Intel® Turbo Boost Technology (6 cores, 8 threads)",3 Cell Battery,Yes,Yes,1 SuperSpeed USB Type-C® 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate,No,HP True Vision 720p HD Camera with Temporalnoise Reduction and Integrated Dual Array Digital Microphones
hp,"https://priceoye.pk/laptops/hp/hp-envy-16-h1008tx-16-inches-13th-gen-core-i5-win-11-16gb-512gb
","hp envy 16 h1008tx 16 inches 13th gen core i5 win 11 16gb 512gb
","Rs  409,999",https://images.priceoye.pk/hp-envy-h1008tx-16-inches-13th-gen-core-i5-windows-11-16gb-512gb-pakistan-priceoye-e2sg2-500x500.webp,35.74 x 25.24 x 1.99 cm,2.34 Kg,Genuine Windows 11 Home,13th Generation,16 Inches,2560 x 1600,Yes,Yes,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,16 GB DDR5-5200 MHz,Intel® Arc™ A370M Graphics (4 GB GDDR6 dedicated),Core i5 13500HX Raptor Lake,2.5 GHz Boost up to 4.7 GHz,6-cell 83 Wh Lithium-Ion polymer,Yes,Yes,"1 USB Type-A 10Gbps signaling rate; 1 USB Type-A 10Gbps signaling rate (HP Sleep and Charge); 2 Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge);",No,Yes
hp,"https://priceoye.pk/laptops/hp/hp-15s-fd0107tu-15-6-inches-13th-gen-core-i5-1335u-win-11-8gb-512gb
","hp 15s fd0107tu 15 6 inches 13th gen core i5 1335u win 11 8gb 512gb
","Rs  204,999",https://images.priceoye.pk/hp-15s-fd0107tu-15-6-inches-13th-gen-core-i5-1335u-win-11-8gb-512gb-pakistan-priceoye-cnyub-500x500.webp,35.98 x 23.6 x 1.86 cm,1.59 Kg,Windows 11 Home Single Language,13th Generation,15.6 Inches,1920 x 1080 Pixels,Non-Touch,Yes,512 GB SSD,8 GB,"Integrated,  Intel® Iris® Xᵉ Graphics",Intel® Core™ i5-1335U,up to 4.6 GHz,"3-cell, 41 Wh Li-ion polymer",null,null,1 USB Type-C® 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors); 2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 1.4b; 1 headphone/microphone combo,N/A,Yes
hp,"https://priceoye.pk/laptops/hp/hp-15s-fq5317tu-laptop-12th-gen-core-i5-8gb-512gb
","hp 15s fq5317tu laptop 12th gen core i5 8gb 512gb
","Rs  154,999",https://images.priceoye.pk/hp-15s-fq5317tu-laptop-12th-gen-core-i5-8gb-512gb-pakistan-priceoye-bzz29-500x500.webp,35.85 x 24.2 x 1.79 cm,1.69 kg,Windows 11 Home Single Language,12th Gen,15.6 Inches,1920 x 1080,No,Yes,512 GB,8 GB,"Integrated,  Intel® Iris® Xᶱ Graphics(Intel® Iris® Xᵉ Graphics capabilities require system to be configured with Intel® Core™ i5 or i7 processors and dual channel memory. Intel® Iris® Xᶱ Graphics with Intel® Core™ i5 or i7 processors and single channel memory will only function as Intel® UHD Graphics.)",Intel® Integrated SoC,"Intel® Core™ i5-1235U (up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads) 1 2","3-cell, 41 Wh Li-ion",Yes,Yes,Yes,N/A,HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones
hp,"https://priceoye.pk/laptops/hp/hp-envy-14-es0013dx-13th-gen-core-i5-1335u-8gb-ddr4-512gb-ssd
","hp envy 14 es0013dx 13th gen core i5 1335u 8gb ddr4 512gb ssd
","Rs  175,999",https://images.priceoye.pk/hp-envy-14-es0013dx-13th-gen-core-i5-1335u-8gb-ddr4-512gb-ssd-pakistan-priceoye-1n72z-500x500.webp,N/A,N/A,Windows 11 Home,13th Gen,14,1920 X1080P,YES,Yes,512 GB,8 GB,Intel Iris Xe Graphics,INTEL i5-1335U,4.60 GHz,3 CELL,Yes,Yes,Yes,Yes,Yes
hp,"https://priceoye.pk/laptops/hp/hp-15-fd0336nia-13th-gen-core-i3-4gb-256gb
","hp 15 fd0336nia 13th gen core i3 4gb 256gb
","Rs  115,999",https://images.priceoye.pk/hp-15-fd0336nia-13th-gen-core-i3-4gb-256gb-pakistan-priceoye-ulffr-500x500.webp,N/A,N/A,Dos,13th Gen,15.6,1920 x 1080,No,Yes,256 GB PCIe® NVMe™ M.2 SSD,4GB RAM,"Integrated, Intel® UHD Graphics",Intel Core i3-1315U Raptor Lake (10 MB Cache),"1.2 GHz up to 4.5 GHz with Intel® Turbo Boost Technology (Total Cores 6 # of Performance-cores 2 # of Efficient-cores 4, 8 Threads)",3-cell Lithium-Ion Polymer battery,Yes,Yes,Yes,N/A,HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkbook-15-g2-15-6-inches-11th-gen-core-i7-dos-8gb-256gb
","lenovo thinkbook 15 g2 15 6 inches 11th gen core i7 dos 8gb 256gb
","Rs  212,999",https://images.priceoye.pk/lenovo-thinkbook-15-g2-15-6-inches-11th-gen-core-i7-dos-8gb-256gb-pakistan-priceoye-fxtz6-500x500.webp,N/A,1.7 kg,DOS,11th Generation,15.6 Inches,1920 x 1080 Pixels,Non-Touch,"Non-backlit, English (UK)",256 GB SSD,8 GB,NVIDIA GeForce MX450 2GB GDDR6,Intel Core i7-1165G7 Tiger Lake,2.8 Ghz Turbo Boost Up to 4.7 GHz (4 Cores - 8 Threads),N/A,Yes,Yes,"1x USB 3.2 Gen 1 1x USB 3.2 Gen 1 (Always On) 1x USB-C® 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.4) 1x Thunderbolt™ 4 / USB4® 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.4)","Touch Style, Integrated in Power Button",HD 720p with Privacy Shutter
