brand,url,name,price,image,simSupport,dimensions,strapMaterial,waterResistance,weight,os,speakers,mode,camera,screenSize,resulotion,screenType,ram,rom,wifi,gps,nfc,batteryCapacity,batteryLife
ronin,"https://priceoye.pk/smart-watches/ronin/ronin-r-09-ultra-smart-watch
","ronin r 09 ultra smart watch
","Rs  10,499",https://images.priceoye.pk/ronin-r-09-ultra-smart-watch-pakistan-priceoye-6n6dn-500x500.webp,NO,NA,NA,IP68,NA,NA,yes,100+ Sports Modes,NA,1.96,410x502Px,Full Touch,NA,NA,NA,NA,NA,300mAh,null
oppo,"https://priceoye.pk/smart-watches/oppo/oppo-watch
","oppo watch
","Rs  33,999",https://images.priceoye.pk/oppo-watch-pakistan-priceoye-x0x0c-500x500.webp,No,41.5 x 36.4 x 11.4 mm,Fluororubber,3 ATM,30.1 g,Wear OS by Google™,Yes,13 Sports Modes,No,1.6 inches,320 x 360,Rigid AMOLED Screen,1GB,8GB,WLAN 2.4G,A-GPS and GLONASS,Yes,Li-Ion 300 mAh battery,14 days
realme,"https://priceoye.pk/smart-watches/realme/realme-watch-s
","realme watch s
","Rs  16,999",https://images.priceoye.pk/realme-watch-s-pakistan-priceoye-zfvdc-500x500.webp,No,259.5 x 47.0 x12.0 mm,Silicone,Yes,48g,Proprietary OS,No,16 sports mode,No,1.3 inches,360 x 360,Corning Gorilla Glass,N/A,N/A,No,No,No,"Li-Ion 390 mAh, non-removable",15 Days
infinix,"https://priceoye.pk/smart-watches/infinix/infinix-smart-watch-1
","infinix smart watch 1
","Rs  6,249",https://images.priceoye.pk/infinix-smart-watch-1-pakistan-priceoye-7y7p0-500x500.webp,N/A,40.0 x 24.0 x 12.0mm,Silicon,IP68,45 g,Proprietary OS,Yes,Multiple sports modes,N/A,1.83 inches,N/A,Full-Touch,N/A,N/A,N/A,N/A,No,280mAh,2-3 days
oppo,"https://priceoye.pk/smart-watches/oppo/oppo-watch-46mm
","oppo watch 46mm
","Rs  59,799",https://images.priceoye.pk/oppo-watch-46mm-pakistan-priceoye-3qhuu-500x500.webp,No,46 × 39 × 11.35 mm,Fluororubber,5 ATM,39.3 g,Wear OS by Google™,Yes,13 Sports Modes,No,1.91 inches,402 x 476,AMOLED Curved Display,1GB,8 GB,WLAN 2.4G,A-GPS and GLONASS,Yes,430 mAh,21 days
ronin,"https://priceoye.pk/smart-watches/ronin/ronin-r-01-smart-watch
","ronin r 01 smart watch
","Rs  8,999",https://images.priceoye.pk/ronin-r-01-smart-watch-pakistan-priceoye-ht2i9-500x500.webp,N/A,N/A,Silicon,IP67,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.9,240x296,TFT,N/A,N/A,N/A,N/A,No,280 mAh,2-3 days
samsung,"https://priceoye.pk/smart-watches/samsung/galaxy-fit-2
","galaxy fit 2
","Rs  12,899",https://images.priceoye.pk/galaxy-fit-2-pakistan-priceoye-m3tr7-500x500.webp,No,46.6 x 18.6 x 11.1 mm,Silicone,5 ATM,21 g,Free RTOS,No,5 Modes,No,1.1 inches,46.6 x 18.6 x 11.1 mm,AMOLED,2 MB,32 MB,No,No,No,159 mah,15 Days
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-watch-gt3-pro
","huawei watch gt3 pro
","Rs  67,999",https://images.priceoye.pk/huawei-watch-gt-3-pro-pakistan-priceoye-63efh-500x500.webp,No,46.6 mm x 46.6 mm x 10.9 mm,"Black Fluoroelastomer Strap,Grey Leather Strap,Titanium Strap",5ATM,54 g,Proprietary OS,Yes,100+ Workout Modes,No,1.43 inches,N/A,AMOLED,N/A,N/A,N/A,Yes,No,Li-Po 530 mAh,8 days
oneplus,"https://priceoye.pk/smart-watches/oneplus/oneplus-smart-watch
","oneplus smart watch
","Rs  25,499",https://images.priceoye.pk/oneplus-smart-watch-pakistan-priceoye-i07ng-500x500.webp,No,46.4 x 46.4 x 10.9 mm,Plastic back,IP68 Waterproof,45 g,Proprietary OS,Yes,110 Plus Movement Modes,No,1.39 inches,454 x 454 pixels,AMOLED,1 GB,4 GB,No,Yes,No,"Li-Ion 402 mAh, non-removable",14 days
zero,"https://priceoye.pk/smart-watches/zero/zero-terra-fit-smart-watch
","zero terra fit smart watch
","Rs  7,199",https://images.priceoye.pk/zero-terra-fit-smart-watch-pakistan-priceoye-wirsh-500x500.webp,N/A,N/A,Silicone,IP68,37.8g,"iOS 8.0+, Android 4.4+",N/A,130+ Sports Modes,N/A,1.85 Inches,240*284 Pixels,TFT Screen,N/A,N/A,N/A,N/A,N/A,390mAh,"10 Days Typical Usage Time, 30 Days Standby Time"
zero,"https://priceoye.pk/smart-watches/zero/zero-caliber-pro-all-metal-appearance
","zero caliber pro all metal appearance
","Rs  7,299",https://images.priceoye.pk/videos/zero-caliber-pro-all-metal-appearance-pakistan-priceoye-oagfy.mp4,N/A,N/A,Silicon,IP67,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.91,240 * 283,TFT,N/A,N/A,N/A,N/A,No,280mAh,Standby Time : 30 days
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-4-bluetooth-40mm-r860
","samsung galaxy watch 4 bluetooth 40mm r860
","Rs  41,499",https://images.priceoye.pk/samsung-galaxy-watch-40mm-r860-pakistan-priceoye-rgm82-500x500.webp,No,40.4 x 39.3 x 9.8mm,Fluoroelastomer,5 ATM,26 g,Android Wear OS,Yes,"Accelerometer, Barometer, Gyro Sensor, Geomagnetic Sensor, Light Sensor, Optical Heart Rate Sensor, Electrical heart sensor, Bioelectrical Impedance Analysis Sensor",No,1.2 inches,396 x 396 pixels,Super AMOLED,1.5GB RAM,16 GB,Wi-Fi 802.11,Yes,Yes,247 mAh battery,Up to 40 Hours
apple,"https://priceoye.pk/smart-watches/apple/apple-watch-series-7-45mm
","apple watch series 7 45mm
","Rs  90,999",https://images.priceoye.pk/apple-watch-series-7-45mm-pakistan-priceoye-1qo9w-500x500.webp,N/A,45 x 38 x 10.7 mm,TPU,5 ATM,51.5 g,watchOS 8.0,Yes,N/A,No,1.9 inches,484 x 396 pixels,Retina LTPO OLED,N/A,32 GB,Wi-Fi 802.11,"Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS",Yes (market/region dependent),"Li-Ion 309 mAh , non-removable",18 hrs
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-watch-3
","huawei watch 3
","Rs  69,599",https://images.priceoye.pk/huawei-watch-3-pakistan-priceoye-n6w3z-500x500.webp,No,46.2 mm x 46.2 mm x 12.15 mm,Leather,5 ATM,54 g,N/A,Yes,100 Plus Modes,No,1.43 inches,466 x 466 pixels,AMOLED,2 GB,16 GB,Only 2.4 GHz is supported,Yes,Yes,null,14 days
realme,"https://priceoye.pk/smart-watches/realme/realme-band
","realme band
","Rs  5,699",https://images.priceoye.pk/realme-band-pakistan-priceoye-le7lo-500x500.webp,No,19.6 x 11.9 x 240 mm,TPU,Yes,20g,Android 5.0+,No,9 sports mode,No,0.96 inches,80 x 160,Full Color Touch key,N/A,Unspecified storage,No,No,No,90mAh(BIS),10 days
realme,"https://priceoye.pk/smart-watches/realme/realme-watch-2-pro
","realme watch 2 pro
","Rs  13,499",https://images.priceoye.pk/realme-watch-2-pro-pakistan-priceoye-ehb1u-500x500.webp,No,255.2 x 38.9 x 12.65 mm,Silicone,Yes,40 g,Proprietary OS,No,90 sports mode,No,1.75 inches,320 x 385,IPS LCD,N/A,Unspecified storage,No,Yes,No,390mAh,14 Days
realme,"https://priceoye.pk/smart-watches/realme/realme-techlife-dizo-watch-dw-2001
","realme techlife dizo watch dw 2001
","Rs  6,499",https://images.priceoye.pk/realme-techlife-dizo-watch-dw-2001-pakistan-priceoye-7kn92-500x500.webp,No,N/A,Silicone,IP68,38 g,N/A,No,90 Sport Modes,N/A,3.5 inches,320 x 320 Pixels,LCD,N/A,N/A,No,No,No,N/A,About 8 Days
zero,"https://priceoye.pk/smart-watches/zero/zero-ultra-rugged-defender
","zero ultra rugged defender
","Rs  8,499",https://images.priceoye.pk/zero-ultra-rugged-defender-pakistan-priceoye-t3hcx-500x500.webp,N/A,N/A,Silicone Gel,IP67,48g,"Android 5.0 & Above, iOS 9.0 & Above",Yes,Sports Modes,N/A,1.39 Inches,360*360 Pixels,LCD Display,N/A,N/A,N/A,N/A,N/A,300mAh,3-5 Days
zero,"https://priceoye.pk/smart-watches/zero/zero-ignite-smart-watch
","zero ignite smart watch
","Rs  6,499",https://images.priceoye.pk/videos/zero-ignite-smart-watch-pakistan-priceoye-lpqj9.mp4,N/A,N/A,Silicon,IP67,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.83”,240 x 284,IPS,N/A,N/A,N/A,N/A,No,400mAh,7-9 days
zero,"https://priceoye.pk/smart-watches/zero/nova-smart-watch
","nova smart watch
","Rs  8,999",https://images.priceoye.pk/nova-smart-watch-pakistan-priceoye-5ywrc-500x500.webp,N/A,N/A,Steel,IP67,31.7g,Proprietary OS,Yes,Multiple sports modes,N/A,1.39,240*240,TFT,N/A,N/A,N/A,No,No,220 mAh,2-3 days
